"","tmax","metodo","rep","GAP","time"
"55","100","s","25","0.0223066518501265","8.73459440072378"
"56","100","s","26","0.0205129352165357","8.78039703369141"
"57","100","s","27","0.0205129352165357","8.82588296731313"
"58","100","s","28","0.0205129352165357","8.87071886857351"
"59","100","s","29","0.0205129352165357","8.91535438299179"
"60","100","s","30","0.0205129352165357","8.95825611750285"
"61","200","s","1","0.0205129352165357","9.00165795087814"
"62","200","s","2","0.0205129352165357","9.04654328425725"
"63","200","s","3","0.0205129352165357","9.08927826881409"
"64","200","s","4","0.0205129352165357","9.1333634853363"
"65","200","s","5","0.0196863068262852","9.17736531893412"
"66","200","s","6","0.0196863068262852","9.2217007001241"
"67","200","s","7","0.0196863068262852","9.26243568261464"
"68","200","s","8","0.0196863068262852","9.3046205997467"
"69","200","s","9","0.0196863068262852","9.34893908500671"
"70","200","s","10","0.0196863068262852","9.39557500282923"
"71","200","s","11","0.0196863068262852","9.44086093505224"
"72","200","s","12","0.0196863068262852","9.4850968003273"
"73","200","s","13","0.0196863068262852","9.53091608285904"
"74","200","s","14","0.0196863068262852","9.57533528407415"
"75","200","s","15","0.0196863068262852","9.61888778607051"
"76","200","s","16","0.0196863068262852","9.66295696894328"
"77","200","s","17","0.0196863068262852","9.70735950072606"
"78","200","s","18","0.0196863068262852","9.75191204945246"
"79","200","s","19","0.0187676685663254","9.79673128525416"
"80","200","s","20","0.0187676685663254","9.84126716852188"
"81","200","s","21","0.0187676685663254","9.88708645105362"
"82","200","s","22","0.0187676685663254","9.9282888174057"
"83","200","s","23","0.0187676685663254","9.97247466643651"
"84","200","s","24","0.0187676685663254","10.0178105990092"
"85","200","s","25","0.0187676685663254","10.0643799344699"
"86","200","s","26","0.0187676685663254","10.1103823184967"
"87","200","s","27","0.0187676685663254","10.1558180332184"
"88","200","s","28","0.0187676685663254","10.2014373024305"
"89","200","s","29","0.0187676685663254","10.2462565342585"
"90","200","s","30","0.0187676685663254","10.2889089663823"
"91","400","s","1","0.0187676685663254","10.3344449162483"
"92","400","s","2","0.0187676685663254","10.3817142327627"
"93","400","s","3","0.0187676685663254","10.4247156341871"
"94","400","s","4","0.0187676685663254","10.4686339497566"
"95","400","s","5","0.0187676685663254","10.5123355348905"
"96","400","s","6","0.0187676685663254","10.5568703691165"
"97","400","s","7","0.0187676685663254","10.5988054990768"
"98","400","s","8","0.0187676685663254","10.6423075675964"
"99","400","s","9","0.0187676685663254","10.6860261837641"
"100","400","s","10","0.0187676685663254","10.730861500899"
"101","400","s","11","0.0187676685663254","10.7748970508575"
"102","400","s","12","0.0187676685663254","10.8195488492648"
"103","400","s","13","0.0187676685663254","10.8665515025457"
"104","400","s","14","0.0187676685663254","10.9112207333247"
"105","400","s","15","0.0187676685663254","10.9551899194717"
"106","400","s","16","0.0187676685663254","11.0010425329208"
"107","400","s","17","0.0187676685663254","11.0479618827502"
"108","400","s","18","0.0187676685663254","11.0904133836428"
"109","400","s","19","0.0187676685663254","11.1321811676025"
"110","400","s","20","0.0187676685663254","11.1738319516182"
"111","400","s","21","0.0187676685663254","11.2199175000191"
"112","400","s","22","0.0187676685663254","11.2599015990893"
"113","400","s","23","0.0187676685663254","11.3021193504333"
"114","400","s","24","0.0187676685663254","11.3447336991628"
"115","400","s","25","0.0187676685663254","11.3863974332809"
"116","400","s","26","0.0187676685663254","11.427417866389"
"117","400","s","27","0.0187676685663254","11.4689715345701"
"118","400","s","28","0.0187676685663254","11.5127700169881"
"119","400","s","29","0.0187676685663254","11.5525735020638"
"120","400","s","30","0.0187676685663254","11.5941510995229"
"121","800","s","1","0.0187676685663254","11.6360715826352"
"122","800","s","2","0.0187676685663254","11.6788261850675"
"123","800","s","3","0.0187676685663254","11.7214404026667"
"124","800","s","4","0.0187676685663254","11.7636675993601"
"125","800","s","5","0.0187676685663254","11.8063984155655"
"126","800","s","6","0.0187676685663254","11.8493459860484"
"127","800","s","7","0.0187676685663254","11.8900169849396"
"128","800","s","8","0.0187676685663254","11.9317313512166"
"129","800","s","9","0.0187676685663254","11.974162085851"
"130","800","s","10","0.0187676685663254","12.0166595498721"
"131","800","s","11","0.0187676685663254","12.0579934517543"
"132","800","s","12","0.0187676685663254","12.1037120858828"
"133","800","s","13","0.0187676685663254","12.1515314857165"
"134","800","s","14","0.0187676685663254","12.194200583299"
"135","800","s","15","0.0187676685663254","12.2384197831154"
"136","800","s","16","0.0187676685663254","12.2831223328908"
"137","800","s","17","0.0187676685663254","12.3275248845418"
"138","800","s","18","0.0187676685663254","12.3733608325322"
"139","800","s","19","0.0187676685663254","12.4186134179433"
"140","800","s","20","0.0187676685663254","12.4657327493032"
"141","800","s","21","0.0187676685663254","12.5087340354919"
"142","800","s","22","0.0187676685663254","12.5503356019656"
"143","800","s","23","0.0187676685663254","12.5922369837761"
"144","800","s","24","0.0187676685663254","12.6350885192553"
"145","800","s","25","0.0187676685663254","12.6814577023188"
"146","800","s","26","0.0187676685663254","12.7270103176435"
"147","800","s","27","0.0187676685663254","12.7728462656339"
"148","800","s","28","0.0187676685663254","12.8201656341553"
"149","800","s","29","0.0187676685663254","12.8622847159704"
"150","800","s","30","0.0187676685663254","12.906153901418"
"151","1600","s","1","0.0187676685663254","12.9506730993589"
"152","1600","s","2","0.0187676685663254","12.9958090186119"
"153","1600","s","3","0.0187676685663254","13.0415949662526"
"154","1600","s","4","0.0187676685663254","13.0876642187436"
"155","1600","s","5","0.0187676685663254","13.1311491688093"
"156","1600","s","6","0.0187676685663254","13.1737504005432"
"157","1600","s","7","0.0187676685663254","13.2143351356188"
"158","1600","s","8","0.0187676685663254","13.257303349177"
"159","1600","s","9","0.0187676685663254","13.3001545826594"
"160","1600","s","10","0.0187676685663254","13.3435056169828"
"161","1600","s","11","0.0187676685663254","13.3874235510826"
"162","1600","s","12","0.0187676685663254","13.4309916178385"
"163","1600","s","13","0.0187676685663254","13.4762762506803"
"164","1600","s","14","0.0187676685663254","13.5165942668915"
"165","1600","s","15","0.0187676685663254","13.5588791688283"
"166","1600","s","16","0.0187676685663254","13.6032810846965"
"167","1600","s","17","0.0187676685663254","13.6488170345624"
"168","1600","s","18","0.0187676685663254","13.6941696166992"
"169","1600","s","19","0.0187676685663254","13.7390888690948"
"170","1600","s","20","0.0187676685663254","13.7854415178299"
"171","1600","s","21","0.0187676685663254","13.830527416865"
"172","1600","s","22","0.0187676685663254","13.8747966170311"
"173","1600","s","23","0.0187676685663254","13.9213492830594"
"174","1600","s","24","0.0187676685663254","13.9682686328888"
"175","1600","s","25","0.0187676685663254","14.0187048514684"
"176","1600","s","26","0.0187676685663254","14.0623237689336"
"177","1600","s","27","0.0187676685663254","14.1087928493818"
"178","1600","s","28","0.0187676685663254","14.1569289326668"
"179","1600","s","29","0.0187676685663254","14.2015315016111"
"180","1600","s","30","0.0187676685663254","14.2468007524808"
